"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_3P_1_CPUE_om","AgeSel_3P_2_CPUE_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","ForeRecr_100_em","Impl_err_100_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_3P_1_CPUE_em","AgeSel_3P_2_CPUE_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","I","species","max_grad","version","RunTime","hessian","ID"
"1",1417990000,164179000,4084180000,0.341662218609366,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,104700000,657.401,0.000456134,0,-20.9227,NA,NA,616.935,NA,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1319650000,151952000,3797770000,0.364242700321504,0,0.2,19.6919,133.279,0.198925,0.100504,0.0941704,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6094,0.65,0.4,0,0,0,0,0,0,0,-0.0289548,0,50.0264,-3,4.99897,15,-999,999,40.2803,-4,4.74414,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2882.5,2.54663e-13,0,-15.7025,NA,NA,2935.36,NA,NA,NA,NA,NA,NA,-48.631,0,11.4743,0.000990674,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",1,"B0","D1","E991","F1","I0","cod",0.00014403,"#V3.24O",0.6,FALSE,"B0-D1-E991-F1-I0-cod-1"
"2",1417990000,164179000,4084180000,0.405562438482143,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121269000,664.509,0.000484027,0,-20.9227,NA,NA,631.416,NA,NA,NA,NA,NA,NA,53.7653,0,0,0,0,0,1452760000,167109000,4177900000,0.3812393786352,0,0.2,19.6167,133.726,0.201012,0.104765,0.0823061,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6903,0.65,0.4,0,0,0,0,0,0,0,0.10211,0,49.3841,-3,4.96396,15,-999,999,41.6041,-4,5.06018,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2868.03,6.01906e-13,0,-14.0748,NA,NA,2921.15,NA,NA,NA,NA,NA,NA,-51.0611,0,12.0182,0.000943523,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",2,"B0","D1","E991","F1","I0","cod",0.00152156,"#V3.24O",0.716666666666667,FALSE,"B0-D1-E991-F1-I0-cod-2"
"3",1417990000,164179000,4084180000,0.335913206567781,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,101930000,645.749,0.000474234,0,-20.9227,NA,NA,610.578,NA,NA,NA,NA,NA,NA,55.8427,0,0,0,0,0,1431550000,168484000,4129940000,0.440863547654445,0,0.2,19.1348,131.344,0.207583,0.104082,0.0996077,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6978,0.65,0.4,0,0,0,0,0,0,0,0.0187826,0,52.1184,-3,5.19106,15,-999,999,38.4473,-4,4.39892,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2818.75,1.14377e-12,0,-14.7026,NA,NA,2869.04,NA,NA,NA,NA,NA,NA,-47.6581,0,12.0704,0.0010284,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",3,"B0","D1","E991","F1","I0","cod",0.00188769,"#V3.24O",0.616666666666667,FALSE,"B0-D1-E991-F1-I0-cod-3"
"4",1417990000,164179000,4084180000,0.34884358671753,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,109202000,645.847,0.00046578,0,-20.9227,NA,NA,614.404,NA,NA,NA,NA,NA,NA,52.1152,0,0,0,0,0,1450800000,167136000,4177860000,0.393615391611974,0,0.2,20.3936,132.596,0.195537,0.0952955,0.0970232,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7296,0.65,0.4,0,0,0,0,0,0,0,-0.087513,0,51.8782,-3,5.22807,15,-999,999,44.2737,-4,5.62587,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2873.16,4.57811e-13,0,-14.1018,NA,NA,2927.99,NA,NA,NA,NA,NA,NA,-53.0297,0,12.2962,0.000816996,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",4,"B0","D1","E991","F1","I0","cod",0.0402287,"#V3.24O",0.65,FALSE,"B0-D1-E991-F1-I0-cod-4"
"5",1417990000,164179000,4084180000,0.44983081059111,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,136052000,663.361,0.000453936,0,-20.9227,NA,NA,631.776,NA,NA,NA,NA,NA,NA,52.2571,0,0,0,0,0,1482540000,173191000,4271570000,0.528955395791243,0,0.2,19.5615,130.351,0.207635,0.101658,0.101052,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7497,0.65,0.4,0,0,0,0,0,0,0,-0.0777004,0,49.6757,-3,4.99768,15,-999,999,40.318,-4,4.929,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2902.89,2.61866e-13,0,-15.3766,NA,NA,2953.27,NA,NA,NA,NA,NA,NA,-47.4427,0,12.4418,0.000962262,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",5,"B0","D1","E991","F1","I0","cod",0.000255218,"#V3.24O",0.666666666666667,FALSE,"B0-D1-E991-F1-I0-cod-5"
"6",1417990000,164179000,4084180000,0.389375590693848,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,119166000,641.664,0.000451633,0,-20.9227,NA,NA,619.378,NA,NA,NA,NA,NA,NA,42.958,0,0,0,0,0,1515090000,174092000,4361210000,0.38484732448105,0,0.2,20.2784,132.846,0.195559,0.0975078,0.104393,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7641,0.65,0.4,0,0,0,0,0,0,0,-0.0887107,0,51.0886,-3,5.14292,15,-999,999,42.7656,-4,5.41345,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2951.74,2.0804e-13,0,-14.7013,NA,NA,3004.2,NA,NA,NA,NA,NA,NA,-50.3003,0,12.5476,0.000859312,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",6,"B0","D1","E991","F1","I0","cod",4.09843e-05,"#V3.24O",0.6,FALSE,"B0-D1-E991-F1-I0-cod-6"
"7",1417990000,164179000,4084180000,0.500967146403929,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,150335000,688.274,0.000471793,0,-20.9227,NA,NA,650.784,NA,NA,NA,NA,NA,NA,58.162,0,0,0,0,0,1390730000,159961000,4002090000,0.482767753848614,0,0.2,20.0841,132.784,0.198105,0.103034,0.0907472,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6745,0.65,0.4,0,0,0,0,0,0,0,-0.118233,0,49.758,-3,5.00213,15,-999,999,42.9162,-4,5.34043,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2952.51,1.28806e-13,0,-9.15504,NA,NA,2991.33,NA,NA,NA,NA,NA,NA,-41.5806,0,11.909,0.000893359,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",7,"B0","D1","E991","F1","I0","cod",0.00334145,"#V3.24O",0.65,FALSE,"B0-D1-E991-F1-I0-cod-7"
"8",1417990000,164179000,4084180000,0.453572075667576,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,137867000,649.529,0.000433525,0,-20.9227,NA,NA,623.636,NA,NA,NA,NA,NA,NA,46.5654,0,0,0,0,0,1548640000,181098000,4465980000,0.488457180730769,0,0.2,20.3485,128.82,0.203252,0.0951169,0.115023,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8359,0.65,0.4,0,0,0,0,0,0,0,-0.219467,0,52.4528,-3,5.35442,15,-999,999,44.8031,-4,6.07451,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2850.69,9.30868e-14,0,-14.2698,NA,NA,2906.76,NA,NA,NA,NA,NA,NA,-54.8934,0,13.0977,0.000744765,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",8,"B0","D1","E991","F1","I0","cod",0.00401668,"#V3.24O",0.666666666666667,FALSE,"B0-D1-E991-F1-I0-cod-8"
"9",1417990000,164179000,4084180000,0.395031560802903,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121732000,650.905,0.000458392,0,-20.9227,NA,NA,622.189,NA,NA,NA,NA,NA,NA,49.3887,0,0,0,0,0,1469200000,170680000,4234500000,0.533108985712599,0,0.2,20.4297,131.162,0.199993,0.101759,0.0996762,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.751,0.65,0.4,0,0,0,0,0,0,0,-0.129357,0,50.9159,-3,5.10964,15,-999,999,47.4321,-4,6.46077,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2882.11,6.51427e-14,0,-15.6593,NA,NA,2934.97,NA,NA,NA,NA,NA,NA,-49.6552,0,12.4511,0.000747058,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",9,"B0","D1","E991","F1","I0","cod",0.000183672,"#V3.24O",0.666666666666667,FALSE,"B0-D1-E991-F1-I0-cod-9"
"10",1417990000,164179000,4084180000,0.406465924616447,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,125104000,666.09,0.000501088,0,-20.9227,NA,NA,632.503,NA,NA,NA,NA,NA,NA,54.2586,0,0,0,0,0,1341100000,153275000,3855430000,0.364392558028547,0,0.2,19.903,134.747,0.196261,0.096312,0.0961243,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.603,0.65,0.4,0,0,0,0,0,0,0,0.0399324,0,50.7262,-3,5.10604,15,-999,999,41.5263,-4,4.96399,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2965.19,2.14212e-13,0,-16.1597,NA,NA,3019.43,NA,NA,NA,NA,NA,NA,-49.5157,0,11.4323,0.000933281,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",10,"B0","D1","E991","F1","I0","cod",4.37814e-05,"#V3.24O",0.633333333333333,FALSE,"B0-D1-E991-F1-I0-cod-10"
"11",1417990000,164179000,4084180000,0.418331219485919,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,127025000,651.621,0.00046532,0,-20.9227,NA,NA,629.531,NA,NA,NA,NA,NA,NA,42.7618,0,0,0,0,0,1483870000,171197000,4271400000,0.413042562157606,0,0.2,20.1192,133.373,0.199112,0.102541,0.0876987,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7228,0.65,0.4,0,0,0,0,0,0,0,-0.0264959,0,50.485,-3,5.05034,15,-999,999,43.16,-4,5.64179,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2928.38,1.30362e-12,0,-17.3571,NA,NA,2983.47,NA,NA,NA,NA,NA,NA,-49.977,0,12.2473,0.000843641,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",11,"B0","D1","E991","F1","I0","cod",0.0223457,"#V3.24O",0.683333333333333,FALSE,"B0-D1-E991-F1-I0-cod-11"
"12",1417990000,164179000,4084180000,0.538125156090084,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,161977000,679.79,0.000436181,0,-20.9227,NA,NA,642.51,NA,NA,NA,NA,NA,NA,57.9527,0,0,0,0,0,1584690000,178976000,4554810000,0.354921500567532,0,0.2,20.4523,137.96,0.185519,0.105543,0.0743485,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7586,0.65,0.4,0,0,0,0,0,0,0,0.18973,0,51.6177,-3,5.14218,15,-999,999,44.3461,-4,5.73063,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2917.52,8.39342e-13,0,-13.2963,NA,NA,2970.22,NA,NA,NA,NA,NA,NA,-51.9169,0,12.5071,0.000816433,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",12,"B0","D1","E991","F1","I0","cod",0.000244145,"#V3.24O",0.7,FALSE,"B0-D1-E991-F1-I0-cod-12"
"13",1417990000,164179000,4084180000,0.389057289345719,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,118801000,641.684,0.000452245,0,-20.9227,NA,NA,616.332,NA,NA,NA,NA,NA,NA,46.0246,0,0,0,0,0,1514170000,171275000,4350490000,0.415576176476673,0,0.2,20.5889,134.303,0.189806,0.0967973,0.0980467,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7589,0.65,0.4,0,0,0,0,0,0,0,-0.0997477,0,50.0923,-3,5.09456,15,-999,999,42.3549,-4,5.31999,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2889.22,3.44958e-13,0,-18.1229,NA,NA,2943.1,NA,NA,NA,NA,NA,NA,-48.2685,0,12.5095,0.000882324,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",13,"B0","D1","E991","F1","I0","cod",0.00331419,"#V3.24O",0.6,FALSE,"B0-D1-E991-F1-I0-cod-13"
"14",1417990000,164179000,4084180000,0.411169439153025,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,124866000,641.091,0.000432217,0,-20.9227,NA,NA,624.384,NA,NA,NA,NA,NA,NA,37.3791,0,0,0,0,0,1538390000,179574000,4431740000,0.386924774467816,0,0.2,19.4003,130.143,0.208233,0.0969852,0.101345,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7905,0.65,0.4,0,0,0,0,0,0,0,-0.0740655,0,48.9258,-3,4.89837,15,-999,999,38.7308,-4,4.43924,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2858.78,2.4639e-13,0,-16.3487,NA,NA,2915.27,NA,NA,NA,NA,NA,NA,-52.8937,0,12.7457,0.00107069,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",14,"B0","D1","E991","F1","I0","cod",0.000454445,"#V3.24O",0.666666666666667,FALSE,"B0-D1-E991-F1-I0-cod-14"
"15",1417990000,164179000,4084180000,0.338731397734674,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,104546000,645.113,0.000454932,0,-20.9227,NA,NA,617.288,NA,NA,NA,NA,NA,NA,48.4975,0,0,0,0,0,1351750000,156860000,3895440000,0.31279906762779,0,0.2,19.9939,132.543,0.198697,0.101341,0.0923408,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6503,0.65,0.4,0,0,0,0,0,0,0,0.18781,0,52.2434,-3,5.23875,15,-999,999,42.8131,-4,5.45716,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2917.94,2.14191e-13,0,-13.5296,NA,NA,2966.13,NA,NA,NA,NA,NA,NA,-46.3998,0,11.7447,0.000837924,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",15,"B0","D1","E991","F1","I0","cod",4.93305e-05,"#V3.24O",0.633333333333333,FALSE,"B0-D1-E991-F1-I0-cod-15"
"16",1417990000,164179000,4084180000,0.59890847122311,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,185103000,674.822,0.000432559,0,-20.9227,NA,NA,644.867,NA,NA,NA,NA,NA,NA,50.6279,0,0,0,0,0,1520850000,177280000,4385310000,0.364740463045942,0,0.2,20.0728,131.883,0.20026,0.101093,0.0968561,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7732,0.65,0.4,0,0,0,0,0,0,0,0.10488,0,52.4451,-3,5.24812,15,-999,999,41.3241,-4,5.07307,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2896.53,1.18051e-13,0,-11.321,NA,NA,2943.89,NA,NA,NA,NA,NA,NA,-48.652,0,12.6158,0.000894331,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",16,"B0","D1","E991","F1","I0","cod",7.06248e-06,"#V3.24O",0.583333333333333,FALSE,"B0-D1-E991-F1-I0-cod-16"
"17",1417990000,164179000,4084180000,0.398655299227752,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,120623000,629.748,0.000415007,0,-20.9227,NA,NA,609.042,NA,NA,NA,NA,NA,NA,41.3784,0,0,0,0,0,1683240000,191446000,4838460000,0.36844367836047,0,0.2,20.1924,135.263,0.191793,0.103884,0.0808501,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8443,0.65,0.4,0,0,0,0,0,0,0,0.0298893,0,51.1363,-3,5.18181,15,-999,999,42.4095,-4,5.25744,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2919.45,1.68827e-13,0,-16.2334,NA,NA,2973.59,NA,NA,NA,NA,NA,NA,-51.07,0,13.1647,0.000875879,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",17,"B0","D1","E991","F1","I0","cod",0.000370104,"#V3.24O",0.716666666666667,FALSE,"B0-D1-E991-F1-I0-cod-17"
"18",1417990000,164179000,4084180000,0.456370679059199,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,138176000,656.333,0.000446112,0,-20.9227,NA,NA,624.564,NA,NA,NA,NA,NA,NA,52.4407,0,0,0,0,0,1463480000,168860000,4212590000,0.380749135330046,0,0.2,19.4478,133.94,0.199139,0.107792,0.0817227,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7042,0.65,0.4,0,0,0,0,0,0,0,0.097198,0,50.9034,-3,5.1007,15,-999,999,40.0577,-4,4.80252,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2830.34,7.23395e-13,0,-11.8672,NA,NA,2878.98,NA,NA,NA,NA,NA,NA,-48.8971,0,12.1151,0.000964911,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",18,"B0","D1","E991","F1","I0","cod",3.91765e-05,"#V3.24O",0.616666666666667,FALSE,"B0-D1-E991-F1-I0-cod-18"
"19",1417990000,164179000,4084180000,0.339894421891298,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,103684000,670.426,0.000467709,0,-20.9227,NA,NA,620.273,NA,NA,NA,NA,NA,NA,70.8261,0,0,0,0,0,1397090000,160604000,4023040000,0.386277541361756,0,0.2,20.1734,134.455,0.193961,0.103371,0.0807413,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6668,0.65,0.4,0,0,0,0,0,0,0,-0.0741343,0,50.9255,-3,5.03384,15,-999,999,44.2328,-4,5.4962,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2869.94,2.67025e-13,0,-14.431,NA,NA,2919.94,NA,NA,NA,NA,NA,NA,-47.4259,0,11.856,0.000863862,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",19,"B0","D1","E991","F1","I0","cod",0.00259664,"#V3.24O",0.716666666666667,FALSE,"B0-D1-E991-F1-I0-cod-19"
"20",1417990000,164179000,4084180000,0.287110264483936,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,89960500,635.519,0.000455508,0,-20.9227,NA,NA,599.764,NA,NA,NA,NA,NA,NA,56.427,0,0,0,0,0,1353990000,156713000,3901790000,0.337819308573757,0,0.2,20.4643,131.907,0.196423,0.098691,0.0995064,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6699,0.65,0.4,0,0,0,0,0,0,0,-0.00223183,0,52.3781,-3,5.28162,15,-999,999,46.605,-4,6.14628,14,-99,99,0.1,100,0.1,100,0.1,100,NA,2975.94,7.22862e-14,0,-11.6362,NA,NA,3018.85,NA,NA,NA,NA,NA,NA,-43.1488,0,11.8776,0.000750927,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I0-cod",20,"B0","D1","E991","F1","I0","cod",9.9271e-05,"#V3.24O",0.6,FALSE,"B0-D1-E991-F1-I0-cod-20"
