"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_3P_1_CPUE_om","AgeSel_3P_2_CPUE_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","ForeRecr_100_em","Impl_err_100_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_3P_1_CPUE_em","AgeSel_3P_2_CPUE_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","I","species","max_grad","version","RunTime","hessian","ID"
"1",1417990000,164179000,4084180000,0.341662218609366,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,104700000,439.367,0.000456134,0,-6.43775,NA,NA,168.906,215.511,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1522390000,164279000,4360190000,0.354537302273525,0,0.2,22.3089,145.259,0.163507,0.115986,0.0724625,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6747,0.65,0.4,0,0,0,0,0,0,0,-0.0704203,0,48.559,-3,4.7419,15,-999,999,56.3322,-4,6.37695,14,-99,99,0.1,100,0.1,100,0.1,100,NA,450.251,1.68992e-13,0,-4.56024,NA,NA,440.482,80.2836,NA,NA,NA,NA,NA,-65.9557,0,0,0.000915331,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",1,"B0","D5","E991","F1","I21","cod",0.000181237,"#V3.24O",0.333333333333333,FALSE,"B0-D5-E991-F1-I21-cod-1"
"2",1417990000,164179000,4084180000,0.405562438482143,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121269000,443.321,0.000484027,0,-6.43775,NA,NA,176.245,219.498,NA,NA,NA,NA,NA,53.7653,0,0,0,0,0,1560800000,174784000,4.47e+09,0.410158836689038,1,0.2,19.7694,139.251,0.195258,0.117772,0.0100001,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6843,0.65,0.4,0,0,0,0,0,0,0,0.0146456,0,46.6033,-3,4.6933,15,-999,999,48.9174,-4,6.06517,14,-99,99,0.1,100,0.1,100,0.1,100,NA,437.07,6.35546e-13,0,-4.27576,NA,NA,432.035,74.9126,NA,NA,NA,NA,NA,-65.6023,0,0,0.000880299,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",2,"B0","D5","E991","F1","I21","cod",9.62475e-07,"#V3.24O",0.433333333333333,FALSE,"B0-D5-E991-F1-I21-cod-2"
"3",1417990000,164179000,4084180000,0.335913206567781,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,101930000,429.015,0.000474234,0,-6.43775,NA,NA,169.444,209.915,NA,NA,NA,NA,NA,55.8427,0,0,0,0,0,1535470000,176037000,4413830000,0.445816898249366,0,0.2,19.7925,135.314,0.201078,0.118272,0.0394496,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7218,0.65,0.4,0,0,0,0,0,0,0,-0.427024,0,42.241,-3,3.60699,15,-999,999,42.6031,-4,13.5131,14,-99,99,0.1,100,0.1,100,0.1,100,NA,434.928,1.36077e-12,0,-3.78297,NA,NA,433.831,69.3497,NA,NA,NA,NA,NA,-64.4711,0,0,0.000778918,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",3,"B0","D5","E991","F1","I21","cod",0.000370571,"#V3.24O",0.433333333333333,FALSE,"B0-D5-E991-F1-I21-cod-3"
"4",1417990000,164179000,4084180000,0.34884358671753,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,109202000,411.589,0.00046578,0,-6.43775,NA,NA,166.423,199.239,NA,NA,NA,NA,NA,52.1152,0,0,0,0,0,1525480000,175763000,4390800000,0.367996720415414,0,0.2,20.3553,133.976,0.196031,0.0718465,0.0859805,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7547,0.65,0.4,0,0,0,0,0,0,0,-0.163406,0,54.2863,-3,5.45043,15,-999,999,47.593,-4,5.66472,14,-99,99,0.1,100,0.1,100,0.1,100,NA,447.769,4.0813e-13,0,-4.76712,NA,NA,438.589,81.4085,NA,NA,NA,NA,NA,-67.4627,0,0,0.000789508,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",4,"B0","D5","E991","F1","I21","cod",0.000143022,"#V3.24O",0.35,FALSE,"B0-D5-E991-F1-I21-cod-4"
"5",1417990000,164179000,4084180000,0.44983081059111,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,136052000,487.507,0.000453936,0,-6.43775,NA,NA,188.984,252.453,NA,NA,NA,NA,NA,52.2571,0,0,0,0,0,1539580000,192156000,4473070000,0.558893556327086,0,0.2,20.0094,117.535,0.239975,0.0838425,0.116494,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.9636,0.65,0.4,0,0,0,0,0,0,0,-0.493323,0,44.6919,-3,4.15576,15,-999,999,64.7648,-4,16.253,14,-99,99,0.1,100,0.1,100,0.1,100,NA,424.574,7.23175e-13,0,-3.94611,NA,NA,409.21,84.0852,NA,NA,NA,NA,NA,-64.7767,0,0,0.00102646,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",5,"B0","D5","E991","F1","I21","cod",6.63766e-05,"#V3.24O",0.366666666666667,FALSE,"B0-D5-E991-F1-I21-cod-5"
"6",1417990000,164179000,4084180000,0.389375590693848,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,119166000,423.422,0.000451633,0,-6.43775,NA,NA,171.484,215.168,NA,NA,NA,NA,NA,42.958,0,0,0,0,0,1698330000,179219000,4870900000,0.282274323020386,1,0.2,23.6155,157.198,0.136335,0.0949123,0.0100001,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7625,0.65,0.4,0,0,0,0,0,0,0,0.191923,0,59.9397,-3,5.77034,15,-999,999,55.5398,-4,14.9063,14,-99,99,0.1,100,0.1,100,0.1,100,NA,445.374,1.22415e-12,0,-4.61919,NA,NA,437.898,79.8633,NA,NA,NA,NA,NA,-67.7686,0,0,0.000486774,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",6,"B0","D5","E991","F1","I21","cod",0.00191759,"#V3.24O",0.45,FALSE,"B0-D5-E991-F1-I21-cod-6"
"7",1417990000,164179000,4084180000,0.500967146403929,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,150335000,465.645,0.000471793,0,-6.43775,NA,NA,178.298,235.372,NA,NA,NA,NA,NA,58.162,0,0,0,0,0,1507090000,165775000,4338010000,0.486665544800496,0,0.2,23.2853,141.612,0.155805,0.097303,0.0509049,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.794,0.65,0.4,0,0,0,0,0,0,0,-0.125525,0,55.4386,-3,5.48331,15,-999,999,41.0807,-4,14.9934,14,-99,99,0.1,100,0.1,100,0.1,100,NA,456.093,1.46213e-15,0,-0.608546,NA,NA,431.842,85.1279,NA,NA,NA,NA,NA,-60.2686,0,0,0.000423442,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",7,"B0","D5","E991","F1","I21","cod",8.25617e-05,"#V3.24O",0.316666666666667,FALSE,"B0-D5-E991-F1-I21-cod-7"
"8",1417990000,164179000,4084180000,0.453572075667576,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,137867000,424.474,0.000433525,0,-6.43775,NA,NA,172.014,212.082,NA,NA,NA,NA,NA,46.5654,0,0,0,0,0,1564680000,194204000,4550780000,0.444051349438997,0,0.2,18.6269,117.044,0.227735,0.110457,0.0920794,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,19.06,0.65,0.4,0,0,0,0,0,0,0,-0.200026,0,48.1411,-3,4.76016,15,-999,999,35.6644,-4,4.42189,14,-99,99,0.1,100,0.1,100,0.1,100,NA,434.032,3.85455e-14,0,-4.3001,NA,NA,422.829,81.8242,NA,NA,NA,NA,NA,-66.3224,0,0,0.00112584,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",8,"B0","D5","E991","F1","I21","cod",3.36222e-05,"#V3.24O",0.283333333333333,FALSE,"B0-D5-E991-F1-I21-cod-8"
"9",1417990000,164179000,4084180000,0.395031560802903,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,121732000,438.094,0.000458392,0,-6.43775,NA,NA,172.986,221.907,NA,NA,NA,NA,NA,49.3887,0,0,0,0,0,1701190000,177099000,4859460000,0.421359574932194,1,0.2,21.7467,148.733,0.14771,0.0930571,0.0100001,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8497,0.65,0.4,0,0,0,0,0,0,0,-0.427498,0,49.8199,-3,5.05432,15,-999,999,47.6595,-4,5.68522,14,-99,99,0.1,100,0.1,100,0.1,100,NA,457.779,3.6488e-14,0,-4.23611,NA,NA,431.038,95.4839,NA,NA,NA,NA,NA,-64.5074,0,0,0.000848058,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",9,"B0","D5","E991","F1","I21","cod",0.000170751,"#V3.24O",0.383333333333333,FALSE,"B0-D5-E991-F1-I21-cod-9"
"10",1417990000,164179000,4084180000,0.406465924616447,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,125104000,464.809,0.000501088,0,-6.43775,NA,NA,178.898,237.839,NA,NA,NA,NA,NA,54.2586,0,0,0,0,0,1425380000,163329000,4107110000,0.400310680746316,0,0.2,20.7988,128.584,0.190327,0.077515,0.131489,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8101,0.65,0.4,0,0,0,0,0,0,0,-0.240482,0,51.1078,-3,5.20918,15,-999,999,45.7962,-4,6.51421,14,-99,99,0.1,100,0.1,100,0.1,100,NA,439.163,1.20234e-12,0,-4.64125,NA,NA,429.181,80.1444,NA,NA,NA,NA,NA,-65.5221,0,0,0.000721093,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",10,"B0","D5","E991","F1","I21","cod",8.01171e-05,"#V3.24O",0.333333333333333,FALSE,"B0-D5-E991-F1-I21-cod-10"
"11",1417990000,164179000,4084180000,0.418331219485919,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,127025000,428.16,0.00046532,0,-6.43775,NA,NA,174.379,217.206,NA,NA,NA,NA,NA,42.7618,0,0,0,0,0,1547540000,183190000,4459240000,0.37827297925207,1,0.2,18.4233,127.864,0.22275,0.10794,0.107039,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7907,0.65,0.4,0,0,0,0,0,0,0,-0.101804,0,42.3976,-3,3.91009,15,-999,999,30.4884,-4,0.012819,14,-99,99,0.1,100,0.1,100,0.1,100,NA,446.03,1.59426e-11,0,-4.80143,NA,NA,440.488,77.3789,NA,NA,NA,NA,NA,-67.0426,0,0,0.00705029,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",11,"B0","D5","E991","F1","I21","cod",4.417e-05,"#V3.24O",0.3,FALSE,"B0-D5-E991-F1-I21-cod-11"
"12",1417990000,164179000,4084180000,0.538125156090084,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,161977000,439.259,0.000436181,0,-6.43775,NA,NA,174.936,212.558,NA,NA,NA,NA,NA,57.9527,0,0,0,0,0,1617170000,192849000,4664440000,0.429914416307209,0,0.2,17.6438,128.556,0.224709,0.119993,0.0988405,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8207,0.65,0.4,0,0,0,0,0,0,0,0.0324121,0,46.5979,-3,4.59767,15,-999,999,34.4598,-4,3.80651,14,-99,99,0.1,100,0.1,100,0.1,100,NA,452.026,1.20051e-14,0,-2.36961,NA,NA,442.247,78.9376,NA,NA,NA,NA,NA,-66.7908,0,0,0.00129673,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",12,"B0","D5","E991","F1","I21","cod",4.86103e-05,"#V3.24O",0.266666666666667,FALSE,"B0-D5-E991-F1-I21-cod-12"
"13",1417990000,164179000,4084180000,0.389057289345719,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,118801000,402.208,0.000452245,0,-6.43775,NA,NA,165.174,197.197,NA,NA,NA,NA,NA,46.0246,0,0,0,0,0,1551290000,178258000,4457480000,0.376279871137952,0,0.2,19.1217,133.217,0.203938,0.0939596,0.0803575,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7591,0.65,0.4,0,0,0,0,0,0,0,-0.0811125,0,49.9733,-3,5.12069,15,-999,999,39.2745,-4,4.17391,14,-99,99,0.1,100,0.1,100,0.1,100,NA,463.939,2.12602e-13,0,-4.74616,NA,NA,452.67,81.4428,NA,NA,NA,NA,NA,-65.428,0,0,0.00107961,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",13,"B0","D5","E991","F1","I21","cod",0.000181993,"#V3.24O",0.283333333333333,FALSE,"B0-D5-E991-F1-I21-cod-13"
"14",1417990000,164179000,4084180000,0.411169439153025,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,124866000,402.055,0.000432217,0,-6.43775,NA,NA,169.485,201.378,NA,NA,NA,NA,NA,37.3791,0,0,0,0,0,1658610000,207705000,4818630000,0.593562900658486,0,0.2,18.8402,115.584,0.24635,0.0934397,0.114293,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,19.0756,0.65,0.4,0,0,0,0,0,0,0,-0.539332,0,37.0243,-3,2.11319,15,-999,999,50.2092,-4,6.88283,14,-99,99,0.1,100,0.1,100,0.1,100,NA,439.848,2.60316e-15,0,-3.46216,NA,NA,419.009,88.7923,NA,NA,NA,NA,NA,-64.4934,0,0,0.00158792,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",14,"B0","D5","E991","F1","I21","cod",2.57337e-05,"#V3.24O",0.316666666666667,FALSE,"B0-D5-E991-F1-I21-cod-14"
"15",1417990000,164179000,4084180000,0.338731397734674,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,104546000,403.646,0.000454932,0,-6.43775,NA,NA,162.865,198.471,NA,NA,NA,NA,NA,48.4975,0,0,0,0,0,1433270000,177724000,4147450000,0.464437184293964,0,0.2,17.7021,120.641,0.25402,0.0882676,0.11115,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7833,0.65,0.4,0,0,0,0,0,0,0,-0.24919,0,39.6941,-3,3.46429,15,-999,999,36.301,-4,4.12251,14,-99,99,0.1,100,0.1,100,0.1,100,NA,461.441,2.55693e-13,0,-1.92599,NA,NA,436.093,93.2837,NA,NA,NA,NA,NA,-66.011,0,0,0.00150433,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",15,"B0","D5","E991","F1","I21","cod",0.000211687,"#V3.24O",0.333333333333333,FALSE,"B0-D5-E991-F1-I21-cod-15"
"16",1417990000,164179000,4084180000,0.59890847122311,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,185103000,472.679,0.000432559,0,-6.43775,NA,NA,182.26,245.979,NA,NA,NA,NA,NA,50.6279,0,0,0,0,0,1502140000,178211000,4323620000,0.20664050032149,1,0.2,16.8584,131.64,0.229746,0.145367,0.0100001,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6878,0.65,0.4,0,0,0,0,0,0,0,0.778319,0,46.6096,-3,4.72612,15,-999,999,50.5972,-4,14.5077,14,-99,99,0.1,100,0.1,100,0.1,100,NA,439.946,8.13236e-13,0,-4.44302,NA,NA,432.902,76.7229,NA,NA,NA,NA,NA,-65.2368,0,0,0.000566337,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",16,"B0","D5","E991","F1","I21","cod",6.46078e-05,"#V3.24O",0.366666666666667,FALSE,"B0-D5-E991-F1-I21-cod-16"
"17",1417990000,164179000,4084180000,0.398655299227752,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,120623000,387.851,0.000415007,0,-6.43775,NA,NA,161.764,190.896,NA,NA,NA,NA,NA,41.3784,0,0,0,0,0,1865310000,213285000,5370530000,0.427637495740644,1,0.2,18.6399,138.264,0.188663,0.136761,0.0100001,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.9312,0.65,0.4,0,0,0,0,0,0,0,-0.115536,0,53.7102,-3,5.34242,15,-999,999,35.5548,-4,3.70392,14,-99,99,0.1,100,0.1,100,0.1,100,NA,442.473,1.74856e-13,0,-4.34612,NA,NA,436.266,78.852,NA,NA,NA,NA,NA,-68.3,0,0,0.00117295,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",17,"B0","D5","E991","F1","I21","cod",9.68747e-05,"#V3.24O",0.3,FALSE,"B0-D5-E991-F1-I21-cod-17"
"18",1417990000,164179000,4084180000,0.456370679059199,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,138176000,430.923,0.000446112,0,-6.43775,NA,NA,171.945,212.724,NA,NA,NA,NA,NA,52.4407,0,0,0,0,0,1565410000,186857000,4531880000,0.480288533676973,1,0.2,20.4593,129.563,0.198472,0.101027,0.0860106,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8684,0.65,0.4,0,0,0,0,0,0,0,-0.200466,0,58.95,-3,5.84352,15,-999,999,30.3076,-4,0.010092,14,-99,99,0.1,100,0.1,100,0.1,100,NA,458.624,1.28317e-15,0,-3.00925,NA,NA,434.696,91.1586,NA,NA,NA,NA,NA,-64.2277,0,0,0.00694366,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",18,"B0","D5","E991","F1","I21","cod",3.77465e-05,"#V3.24O",0.266666666666667,FALSE,"B0-D5-E991-F1-I21-cod-18"
"19",1417990000,164179000,4084180000,0.339894421891298,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,103684000,447.35,0.000467709,0,-6.43775,NA,NA,169.058,213.654,NA,NA,NA,NA,NA,70.8261,0,0,0,0,0,1505260000,173756000,4324510000,0.419548110652999,0,0.2,18.1805,134.859,0.209805,0.118216,0.0734567,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6733,0.65,0.4,0,0,0,0,0,0,0,-0.298658,0,46.0597,-3,4.53248,15,-999,999,33.1026,-4,2.25691,14,-99,99,0.1,100,0.1,100,0.1,100,NA,457.549,1.89603e-12,0,-3.846,NA,NA,443.119,81.307,NA,NA,NA,NA,NA,-63.0325,0,0,0.00178503,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",19,"B0","D5","E991","F1","I21","cod",0.00029982,"#V3.24O",0.3,FALSE,"B0-D5-E991-F1-I21-cod-19"
"20",1417990000,164179000,4084180000,0.287110264483936,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0.1,100,0.1,100,0.1,100,89960500,408.649,0.000455508,0,-6.43775,NA,NA,162.802,195.607,NA,NA,NA,NA,NA,56.427,0,0,0,0,0,1588270000,176199000,4555820000,0.343327875113591,0,0.2,20.0358,142.218,0.175392,0.104828,0.0584644,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7361,0.65,0.4,0,0,0,0,0,0,0,-0.159463,0,56.4345,-3,5.73701,15,-999,999,61.4966,-4,15.702,14,-99,99,0.1,100,0.1,100,0.1,100,NA,445.776,1.58408e-12,0,-2.72295,NA,NA,445.03,69.5946,NA,NA,NA,NA,NA,-66.1265,0,0,0.000627432,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D5-E991-F1-I21-cod",20,"B0","D5","E991","F1","I21","cod",7.41515e-05,"#V3.24O",0.3,FALSE,"B0-D5-E991-F1-I21-cod-20"
